Country,Year,InjuriesPerMillion
Australia,2001,1417.6
Australia,2000,1383
Australia,1963,6224
Australia,1962,5795
Australia,1961,5626
Australia,1960,5998
Australia,1973,7050
Australia,1972,6747
Australia,1971,6967
Australia,1970,7320
Australia,1969,7165
Australia,1968,6846
Australia,1967,6782
Australia,1966,6710
Australia,1965,6853
Australia,1964,6677
Australia,1996,1201
Australia,1995,1238
Australia,1994,1240
Australia,1993,1220
Australia,1992,1230
Australia,1991,1303
Australia,1990,1463
Australia,1989,1694
Australia,1988,1797
Australia,1987,1826
Australia,1986,1821
Australia,1985,1853
Australia,1984,1848
Australia,1983,1824
Australia,1982,2019
Australia,1981,2152
Australia,1980,2181
Australia,1979,6400
Australia,1978,6500
Australia,1977,6455
Australia,1976,6257
Australia,1975,6442
Australia,1974,6656
Australia,2021,1537.9
Australia,2020,1477.4
Australia,2019,1571.6
Australia,2018,1584.7
Australia,2017,1599
Australia,2016,1610.6
Australia,2015,1557
Australia,2014,1512.8
Australia,2013,1513.4
Australia,2012,1496.6
Australia,2011,1523.4
Australia,2010,1478.2
Australia,2009,1540.9
Australia,2008,1561
Australia,2007,1548.9
Australia,2006,1565.3
Australia,2005,1506.4
Australia,2004,1441
Australia,2003,1434.7
Austria,1998,6403.2
Austria,1997,6474.7
Austria,1963,8077.6
Austria,1962,7788.8
Austria,1961,7971.9
Austria,1960,9242
Austria,1973,8975.1
Austria,1972,9546.4
Austria,1971,9610.3
Austria,1970,9394
Austria,1969,9123.2
Austria,1968,8910.6
Austria,1967,9046.1
Austria,1966,8637
Austria,1965,8250.3
Austria,1964,8405.5
Austria,1996,6241.1
Austria,1995,6386.8
Austria,1994,6781.4
Austria,1993,6828.9
Austria,1992,7330.1
Austria,1991,7761.4
Austria,1990,7877.6
Austria,1989,7934.2
Austria,1988,7602.7
Austria,1987,7550.9
Austria,1986,7700.1
Austria,1985,7906.7
Austria,1984,8221.7
Austria,1983,8539.2
Austria,1982,8218.6
Austria,1981,8233.2
Austria,1980,8267.6
Austria,1979,8063
Austria,1978,7777.7
Austria,1977,8197.5
Austria,1976,8015.3
Austria,1975,8692.7
Austria,1974,8677.3
Austria,2022,4778.8
Austria,2021,4567.8
Austria,2020,4231.3
Austria,2019,5084.7
Austria,2018,5264.4
Austria,2017,5373.2
Austria,2016,5537.1
Austria,2015,5488.8
Austria,2014,5579.4
